EmployeeID,FirstName,LastName,Gender,Age,Department,Position,Country,City,Email,PhoneNumber,HireDate,Salary,Bonus,Manager,PerformanceScore,RemoteWork,ContractType,EmployeeStatus,LastPromotionDate
37,John,Garcia,Female,43,Customer Support,Consultant,Spain,Bogotá,employee37@example.com,-8985,07/12/2020,117922,3972,FALSE,C,FALSE,Part-time,Terminated,11/09/2022
38,John,Martinez,Female,23,Marketing,Specialist,Germany,Paris,employee38@example.com,-4846,23/10/2015,112622,14045,FALSE,D,TRUE,Full-time,Active,11/01/2021
39,Sofia,Miller,Male,50,Legal,Specialist,UK,Bogotá,employee39@example.com,-3513,24/12/2013,56773,3667,TRUE,B,TRUE,Full-time,On Leave,14/08/2022
40,Liam,Smith,Male,24,Legal,Analyst,Canada,Paris,employee40@example.com,-10198,21/11/2022,93676,3614,TRUE,C,FALSE,Part-time,Active,21/07/2021
41,Sofia,Williams,Male,51,IT,Assistant,Canada,London,employee41@example.com,-4233,07/12/2022,79862,19430,TRUE,B,FALSE,Full-time,Terminated,11/02/2016
42,Olivia,Smith,Male,33,Legal,Specialist,France,Mumbai,employee42@example.com,-1576,11/07/2018,117023,18789,FALSE,A,TRUE,Contract,Terminated,14/01/2017
43,Noah,Johnson,Female,51,IT,Analyst,Brazil,New York,employee43@example.com,-8307,18/03/2011,114393,14057,TRUE,D,TRUE,Contract,Terminated,07/02/2023
44,Liam,Garcia,Male,33,Customer Support,Engineer,Colombia,Madrid,employee44@example.com,-4528,08/01/2019,109545,1455,TRUE,D,FALSE,Contract,Active,19/12/2017
45,Olivia,Garcia,Male,52,Legal,Analyst,Germany,New York,employee45@example.com,-4555,23/11/2011,91537,8665,FALSE,D,FALSE,Contract,On Leave,06/04/2023
46,Maria,Garcia,Female,22,Finance,Coordinator,Canada,London,employee46@example.com,-8651,29/03/2013,99424,5701,FALSE,B,TRUE,Contract,Active,09/09/2016
47,Sofia,Williams,Female,48,Marketing,Engineer,Germany,Madrid,employee47@example.com,-5225,17/05/2012,106403,2659,FALSE,A,FALSE,Part-time,On Leave,28/12/2020
48,Sofia,Brown,Female,57,IT,Engineer,India,Tokyo,employee48@example.com,-7811,06/02/2015,70883,13885,TRUE,B,FALSE,Contract,On Leave,12/06/2019
49,Liam,Brown,Female,38,HR,Analyst,UK,São Paulo,employee49@example.com,-4008,08/12/2010,56367,7297,FALSE,B,FALSE,Part-time,On Leave,03/02/2016
50,Sofia,Lopez,Female,47,IT,Manager,India,London,employee50@example.com,-6603,23/12/2013,71956,5991,TRUE,B,TRUE,Contract,Terminated,05/08/2023
